icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,geo_altitude,squawk,spi,position_source,extra_col_0,temperature,humidity,wind_speed,city,latitude,longitude,distance,delayed
4b1802,SWR238  ,Switzerland,1730559842.0,1730559842,31.0649,31.3807,7330.44,False,183.36,167.52,-9.43,,7589.52,1614.0,False,0,13.12,49,6.69,New York,40.7128,-74.006,8929.463370193307,0
acdfa5,N929AM  ,United States,1730559842.0,1730559842,-72.6442,41.741,1874.52,False,83.72,230.74,0.0,,1912.62,3570.0,False,0,13.12,49,6.69,New York,40.7128,-74.006,161.4787114777042,0
a4d870,N411GC  ,United States,1730559842.0,1730559842,-81.601,28.3251,563.88,False,85.01,141.88,0.0,,617.22,,False,0,13.12,49,6.69,New York,40.7128,-74.006,1539.4621932456603,0
a3f2c6,N3533U  ,United States,1730559679.0,1730559827,-88.7775,41.6619,792.48,False,36.45,188.93,-2.93,,914.4,,False,0,8.98,71,5.81,Chicago,41.8781,-87.6298,98.40344868322454,0
ac4963,DAL2922 ,United States,1730559842.0,1730559842,-122.261,47.1663,3291.84,False,164.47,161.4,5.53,,3169.92,,False,0,12.67,81,1.54,Los Angeles,34.0522,-118.2437,1494.8931530210032,0
aaef60,AAL218  ,United States,1730559843.0,1730559843,-81.3682,30.0425,11277.6,False,229.23,357.04,-0.33,,11902.44,4661.0,True,0,13.12,49,6.69,New York,40.7128,-74.006,1358.5208931532452,1
aae316,AAL2517 ,United States,1730559843.0,1730559843,-103.9901,33.7398,11582.4,False,249.04,343.44,0.0,,11963.4,,False,0,12.67,81,1.54,Los Angeles,34.0522,-118.2437,1317.8085405095374,1
ab5cd1,FTH831  ,United States,1730559841.0,1730559842,-74.9314,39.0052,3558.54,False,116.52,227.51,17.88,,3688.08,,False,0,13.12,49,6.69,New York,40.7128,-74.006,205.46617330926225,0
880441,,Thailand,1730559842.0,1730559842,100.2068,11.2259,10965.18,False,227.3,353.5,0.0,,11689.08,,False,0,12.67,81,1.54,Los Angeles,34.0522,-118.2437,13562.826197226084,1
a73847,N5641F  ,United States,1730559842.0,1730559842,-91.7959,38.9084,853.44,False,55.68,332.49,0.33,,914.4,,False,0,8.98,71,5.81,Chicago,41.8781,-87.6298,483.4685089754327,0
4952cd,TAP1359 ,Portugal,1730559843.0,1730559843,-1.1048,51.0015,7505.7,False,199.02,217.97,10.4,,7909.56,5266.0,False,0,13.12,49,6.69,New York,40.7128,-74.006,5538.108414637951,0
a36897,N319DM  ,United States,1730559840.0,1730559840,-76.4451,40.9959,152.4,False,11.36,95.19,-3.25,,236.22,,False,0,13.12,49,6.69,New York,40.7128,-74.006,208.04698632248034,0
a36898,DAL957  ,United States,1730559843.0,1730559843,-98.0859,40.1806,8839.2,False,255.16,89.88,0.0,,9105.9,,False,0,8.98,71,5.81,Chicago,41.8781,-87.6298,898.6976886191907,0
407a20,GETET   ,United Kingdom,1730559842.0,1730559842,1.9606,50.0154,3048.0,False,123.65,342.32,0.0,,3238.5,5640.0,False,0,13.12,49,6.69,New York,40.7128,-74.006,5779.662024072049,0
acdfa3,ASA1258 ,United States,1730559842.0,1730559842,-120.2359,40.4211,10668.0,False,303.23,166.86,0.33,,10751.82,,False,0,12.67,81,1.54,Los Angeles,34.0522,-118.2437,728.545158353659,1
a928bc,N69DV   ,United States,1730559842.0,1730559842,-76.7664,38.98,60.96,False,38.84,191.46,-1.63,,144.78,,False,0,13.12,49,6.69,New York,40.7128,-74.006,304.65042493548003,0
a282c9,N261AW  ,United States,1730559836.0,1730559838,-80.3103,25.7758,121.92,False,46.89,266.86,-0.33,,152.4,4342.0,False,0,13.12,49,6.69,New York,40.7128,-74.006,1756.4704724942,0
399549,AGH21A  ,France,1730559842.0,1730559842,4.7284,47.042,8534.4,False,163.35,333.03,0.0,,8923.02,1000.0,False,0,13.12,49,6.69,New York,40.7128,-74.006,6095.342875386475,0
511162,IGO35AP ,Estonia,1730559842.0,1730559842,78.4165,13.6502,6294.12,False,212.29,31.73,6.83,,6614.16,,False,0,13.12,49,6.69,New York,40.7128,-74.006,13352.050253407504,0
511163,IGO883P ,Estonia,1730559842.0,1730559842,88.1679,21.5805,2407.92,False,149.03,15.62,-10.73,,2506.98,7235.0,False,0,13.12,49,6.69,New York,40.7128,-74.006,12866.912664043006,0
a3a578,VJA334  ,United States,1730559842.0,1730559843,-86.0692,41.6928,13106.4,False,191.27,261.8,0.0,,13365.48,5753.0,False,0,8.98,71,5.81,Chicago,41.8781,-87.6298,131.35076924767142,1
408107,VCG1PJ  ,United Kingdom,1730559842.0,1730559842,-1.0246,48.5578,13098.78,False,234.35,15.01,0.98,,13472.16,2343.0,False,0,13.12,49,6.69,New York,40.7128,-74.006,5632.789152930534,1
a2e5d6,AVL226  ,United States,1730559841.0,1730559843,-75.6574,40.26,693.42,False,46.78,278.22,2.28,,762.0,,False,0,13.12,49,6.69,New York,40.7128,-74.006,148.76526243665057,0
402ab6,GBOIL   ,United Kingdom,1730559548.0,1730559548,-2.3946,53.4712,-121.92,False,27.44,83.54,-1.3,,76.2,7365.0,False,0,13.12,49,6.69,New York,40.7128,-74.006,5374.562027300091,0
a22238,N23678  ,United States,1730559842.0,1730559842,-83.9555,42.4815,891.54,False,26.76,91.1,1.63,,990.6,,False,0,8.98,71,5.81,Chicago,41.8781,-87.6298,310.8435469215445,0
c047e9,CGBGA   ,Canada,1730559731.0,1730559731,-88.7053,48.5913,853.44,False,59.78,52.34,-1.3,,891.54,,False,0,8.98,71,5.81,Chicago,41.8781,-87.6298,750.8231316171307,0
ad19f2,SKW5046 ,United States,1730559842.0,1730559842,-77.5356,39.5597,2316.48,False,153.25,148.87,0.0,,2400.3,,False,0,13.12,49,6.69,New York,40.7128,-74.006,326.88899550919706,0
