callsign,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,geo_altitude,position_source,extra_col_0
DAL563  ,1733862313.0,1733862313,-77.3814,41.1187,9281.16,False,288.15,99.77,-10.08,,False,0
TVS27N  ,1733862303.0,1733862310,3.6622,44.8027,11582.4,False,238.84,60.73,0.0,,False,0
,1733862223.0,1733862223,-82.4067,27.6602,12496.8,False,226.98,162.59,0.33,,False,0
ROU1636 ,1733862222.0,1733862222,-79.5156,39.894,10363.2,False,188.67,205.87,0.0,,False,0
DHX783  ,1733862179.0,1733862179,103.9205,1.2141,906.78,False,97.07,22.76,-5.2,,False,0
CLX17A  ,1733862120.0,1733862165,-84.8821,40.2582,6827.52,False,141.68,266.88,-5.2,,False,0
,1733862311.0,1733862311,-98.2748,35.4745,7894.32,False,86.98,268.31,6.18,,False,0
JZA823  ,1733862164.0,1733862307,-74.0447,44.1544,9624.06,False,219.7,173.14,0.0,,False,0
N553TS  ,1733862273.0,1733862273,-84.3959,34.0827,1150.62,False,86.08,287.03,-4.55,,False,0
BCS9117 ,1733862312.0,1733862313,10.6765,45.6474,8686.8,False,229.45,270.51,-10.4,,False,0
UAL2266 ,1733862273.0,1733862287,-96.6013,33.1945,4564.38,False,151.19,228.17,-0.33,,False,0
AAL2608 ,1733862275.0,1733862275,-89.5892,41.16,7452.36,False,278.66,64.52,-11.38,,False,0
VIV510  ,1733862313.0,1733862313,-116.2911,32.9794,9928.86,False,206.19,300.6,-17.23,,False,0
JBU842  ,1733862312.0,1733862312,-76.764,36.3255,11277.6,False,253.3,30.78,0.0,,False,0
AUR2506 ,1733862143.0,1733862143,-1.6327,50.545,1828.8,False,122.28,204.08,-0.33,,False,0
SWA1685 ,1733862075.0,1733862308,-115.1548,33.8728,9753.6,False,207.59,274.98,0.0,,False,0
,1733862229.0,1733862229,-112.2287,33.6555,1005.84,False,47.54,256.87,-0.33,,False,0
,1733862061.0,1733862061,50.6769,27.2776,10660.38,False,275.82,145.72,0.0,,False,0
N572CT  ,1733862287.0,1733862287,-85.1546,35.2435,1127.76,False,68.19,131.02,0.0,,False,0
